reclat,reclon,
42.97333, -78.83199,
42.97327, -78.83209,
42.94323, -78.81344,
40.74493, -73.98820,
40.78004, -73.96213,
40.74477, -73.98869,
40.74473, -73.98876,
42.97333, -78.83200,
42.97326, -78.83207,
42.94325, -78.81346,
40.74493, -73.98795,
40.78002, -73.96211,
40.74485, -73.98870,
40.74472, -73.98871,
42.97333, -78.83203,
42.97328, -78.83206,
42.94327, -78.81344,
40.74522, -73.98823,
40.78003, -73.96208,
40.74489, -73.98870,
40.74465, -73.98890,
42.97326, -78.83208,
42.94325, -78.81346,
40.74537, -73.98837,
40.78003, -73.96211,
40.74518, -73.98862,
40.74464, -73.98890,
42.97326, -78.83206,
42.94326, -78.81347,
40.74515, -73.98855,
40.78004, -73.96209,
40.74587, -73.98834,
40.74460, -73.98891,
42.97327, -78.83204,
42.94325, -78.81347,
40.74505, -73.98864,
40.78002, -73.96206,
40.74589, -73.98836,
40.74458, -73.98892,
42.97330, -78.83205,
42.94326, -78.81345,
40.74527, -73.98859,
40.78000, -73.96204,
40.74571, -73.98836,
40.74457, -73.98897,
42.97326, -78.83209,
42.94328, -78.81345,
40.74539, -73.98855,
40.78000, -73.96201,
40.74557, -73.98837,
40.74457, -73.98897,
42.97325, -78.83207,
42.94331, -78.81346,
40.74517, -73.98864,
40.77998, -73.96202,
40.74549, -73.98837,
40.74456, -73.98900,
42.97324, -78.83211,
42.94330, -78.81342,
40.74505, -73.98868,
40.77997, -73.96204,
40.74545, -73.98836,
40.74456, -73.98900,
42.97323, -78.83213,
42.94329, -78.81340,
40.74530, -73.98859,
40.78003, -73.96201,
40.74541, -73.98834,
40.74455, -73.98903,
42.97322, -78.83216,
42.94327, -78.81340,
40.74541, -73.98855,
40.78001, -73.96199,
40.74508, -73.98850,
40.74454, -73.98904,
42.97325, -78.83216,
42.94328, -78.81342,
40.74553, -73.98562,
40.78000, -73.96200,
40.74509, -73.98852,
40.74454, -73.98907,
42.97323, -78.83220,
42.94326, -78.81342,
40.74556, -73.98576,
40.77998, -73.96199,
40.74509, -73.98848,
42.97322, -78.83222,
42.94324, -78.81344,
40.74553, -73.98576,
40.77996, -73.96199,
40.74495, -73.98853,
42.97322, -78.83218,
42.94322, -78.81343,
40.74548, -73.98576,
40.77996, -73.96199,
40.74492, -73.98855,
42.97324, -78.83215,
42.94320, -78.81343,
40.74543, -73.98574,
40.77998, -73.96200,
40.74494, -73.98855,
42.97324, -78.83210,
